id,nom,ville,cuisine,site_actuel,note_google,nb_avis,gmb_completude,lighthouse_mobile,age_site_ans,valeur_apportable,proba_acceptation,score_final,confidence,tier,bande_action,pourquoi_lui,statut,drapeau_rouge,date_scan,argument_qui_a_converti,raison_perte,cta_appel,cta_itineraire,cta_resa,menu_facile,photos_exploitables,instagram_actif,repond_avis,ecart_concurrentiel,angle_approche,commentaire_manuel
lichette,Lichette,Chartres,french,agrégateur:instagram.com,4.7,75,65,,,80,72,76,80,A,Réserve,4.7/75 avis mais juste une page instagram.com,a_qualifier,aucun,2026-05-17,,,,,,,,,,,,
al-badea,Al-Badea,Chartres,,agrégateur:bento.me,4.6,150,65,,,80,72,76,80,A,Réserve,4.6/150 avis mais juste une page bento.me,a_qualifier,aucun,2026-05-17,,,,,,,,,,,,
bob-s-foodcourt,Bob's Foodcourt,Barjouville,,agrégateur:linktr.ee,4.5,1851,65,,,79,71,76,80,A,Réserve,4.5/1851 avis mais juste une page linktr.ee,a_qualifier,aucun,2026-05-17,,,,,,,,,,,,
le-maunoury,Le Maunoury,Chartres,,aucun,4.4,158,65,,,81,68,75,80,A,Réserve,4.4/158 avis mais aucun site à lui,a_qualifier,aucun,2026-05-17,,,,,,,,,,,,
villa-toscane,Villa Toscane,Chartres,italian,agrégateur:facebook.com,4.5,282,65,,,79,71,75,80,A,Réserve,4.5/282 avis mais juste une page facebook.com,a_qualifier,aucun,2026-05-17,,,,,,,,,,,,
french-chic,French & chic,Chartres,,agrégateur:instagram.com,4.5,184,65,,,79,69,75,80,A,Réserve,4.5/184 avis mais juste une page instagram.com,a_qualifier,aucun,2026-05-17,,,,,,,,,,,,
artipik,Artipik,Chartres,,aucun,4.3,255,45,,,81,67,74,80,B,Réserve,4.3/255 avis mais aucun site à lui,a_qualifier,aucun,2026-05-17,,,,,,,,,,,,
o-relais,O'Relais,Chartres,french,agrégateur:facebook.com,4.2,1288,65,,,76,70,73,88,B,Réserve,4.2/1288 avis mais juste une page facebook.com,a_qualifier,aucun,2026-05-17,,,,,,,,,,,,
le-papooze,Le Papooze,Chartres,,agrégateur:facebook.com,4.2,381,65,,,76,70,73,88,B,Réserve,4.2/381 avis mais juste une page facebook.com,a_qualifier,aucun,2026-05-17,,,,,,,,,,,,
festin-d-asie,Festin d'Asie,Chartres,chinese,aucun,4.2,2409,65,,,80,64,73,80,B,Réserve,4.2/2409 avis mais aucun site à lui,a_qualifier,aucun,2026-05-17,,,,,,,,,,,,
