id,nom,ville,cuisine,site_actuel,note_google,nb_avis,gmb_completude,lighthouse_mobile,age_site_ans,valeur_apportable,proba_acceptation,score_final,confidence,tier,bande_action,pourquoi_lui,statut,drapeau_rouge,date_scan,argument_qui_a_converti,raison_perte,cta_appel,cta_itineraire,cta_resa,menu_facile,photos_exploitables,instagram_actif,repond_avis,ecart_concurrentiel,angle_approche,commentaire_manuel
it,iT,Chartres,italian,https://restaurants.it-trattoria.fr/chartres-place-marceau/,4.3,1376,65,54,,32,71,49,95,D,Réserve,présence numérique en dessous de ce qu'on livre,a_qualifier,aucun,2026-05-17,,,,,,,,,,,,
la-table-de-julie,La table de Julie,Chartres,bistro,http://latabledejulie.com/,4.7,1118,65,63,,28,75,49,95,D,Réserve,présence numérique en dessous de ce qu'on livre,a_qualifier,aucun,2026-05-17,,,,,,,,,,,,
courte-paille,Courte Paille,Chartres,,https://restaurants.courtepaille.com/restaurant-courtepaille-chartres-id206,4.1,2188,65,,,44,55,49,45,D,À surveiller (confiance faible),présence numérique en dessous de ce qu'on livre,a_qualifier,Confiance faible (données incomplètes) — à vérifier sur place.,2026-05-17,,,,,,,,,,,,
le-moliere,Le Molière,Chartres,,https://lemolierechartres.com/,4.2,388,45,70,,44,53,48,95,D,Réserve,site sans appel à l'action clair (ni réservation  ni menu  ni tel visible),a_qualifier,aucun,2026-05-17,,,,,,,,,,,,
sakura-du-paradis,Sakura du Paradis,Chartres,japanese,http://sakuraduparadis.fr/,3.1,632,65,20,14.3,42,55,48,95,D,Réserve,site lent (perf 20/100),a_qualifier,Note Google basse : sujet sensible  ne pas aborder frontalement.,2026-05-17,,,,,,,,,,,,
le-smile,Le Smile,Chartres,,https://www.lesmile28.fr/,4.7,129,65,65,2.9,32,67,48,95,D,Réserve,présence numérique en dessous de ce qu'on livre,a_qualifier,aucun,2026-05-17,,,,,,,,,,,,
terra,Terra,Chartres,italian,https://www.terrachartres.com/,4.6,1230,85,56,,31,70,48,95,D,Réserve,présence numérique en dessous de ce qu'on livre,a_qualifier,aucun,2026-05-17,,,,,,,,,,,,
ellan-vannin,Ellan Vannin,Chartres,,http://www.pub-ellan-vannin.fr/,4,384,65,56,,39,57,47,95,D,Réserve,présence numérique en dessous de ce qu'on livre,a_qualifier,aucun,2026-05-17,,,,,,,,,,,,
uzumaki,Uzumaki,Chartres,sushi,https://uzumaki28.com/,4.3,163,65,58,,36,60,47,95,D,Réserve,présence numérique en dessous de ce qu'on livre,a_qualifier,aucun,2026-05-17,,,,,,,,,,,,
le-sully,Le Sully,Chartres,,https://www.bistrotlesullychartres.com/,4.5,318,65,56,3.2,29,69,47,95,D,Réserve,présence numérique en dessous de ce qu'on livre,a_qualifier,aucun,2026-05-17,,,,,,,,,,,,
kyotori,Kyotori,Chartres,sushi,https://kyotori28.com/fr/,4.6,993,85,69,,28,70,47,95,D,Réserve,présence numérique en dessous de ce qu'on livre,a_qualifier,aucun,2026-05-17,,,,,,,,,,,,
pizza-28,Pizza 28,Chartres,pizza,http://www.pizza-28.fr/,4.8,255,65,83,,26,72,47,95,D,Réserve,présence numérique en dessous de ce qu'on livre,a_qualifier,aucun,2026-05-17,,,,,,,,,,,,
o-tire-bouchon,O Tire Bouchon,Chartres,Restaurant Lyonnais,https://otirebouchon.fr/,4.6,616,65,92,,34,62,47,65,D,Réserve,présence numérique en dessous de ce qu'on livre,a_qualifier,aucun,2026-05-17,,,,,,,,,,,,
garage,Garage,Chartres,burger,https://www.barlegaragechartres.fr/,4,508,65,,,43,52,47,45,D,À surveiller (confiance faible),présence numérique en dessous de ce qu'on livre,a_qualifier,Confiance faible (données incomplètes) — à vérifier sur place.,2026-05-17,,,,,,,,,,,,
l-atelier-terroir,L'Atelier Terroir,Chartres,,http://www.atelier-terroir.fr/,3.6,168,45,,,43,50,46,45,D,À surveiller (confiance faible),présence numérique en dessous de ce qu'on livre,a_qualifier,Confiance faible (données incomplètes) — à vérifier sur place.,2026-05-17,,,,,,,,,,,,
bar-des-sports,Bar des Sports,Chartres,,https://hotelducentre28.com/,3.9,137,35,,,43,50,46,45,D,À surveiller (confiance faible),présence numérique en dessous de ce qu'on livre,a_qualifier,Confiance faible (données incomplètes) — à vérifier sur place.,2026-05-17,,,,,,,,,,,,
bar-du-stade,Bar du Stade,Chartres,,https://cafedugeneral.fr/fr,3.8,684,65,40,,37,55,45,95,D,Réserve,site lent (perf 40/100),a_qualifier,aucun,2026-05-17,,,,,,,,,,,,
le-francis,Le Francis,Barjouville,,http://www.restaurantlefrancis.fr/,4.1,181,65,32,,37,54,45,95,D,Réserve,site lent (perf 32/100),a_qualifier,aucun,2026-05-17,,,,,,,,,,,,
don-camillo,Don Camillo,Chartres,pizza,https://don-camillo-pizza-chartres.eatbu.com/,2.5,6,35,72,,37,55,45,95,D,Réserve,présence numérique en dessous de ce qu'on livre,a_qualifier,Note Google basse : sujet sensible  ne pas aborder frontalement.,2026-05-17,,,,,,,,,,,,
la-chocolaterie,La Chocolaterie,Chartres,coffee_shop,http://www.lachocolaterie-chartres.fr/,4.1,741,65,64,10.1,38,51,44,95,D,Réserve,présence numérique en dessous de ce qu'on livre,a_qualifier,aucun,2026-05-17,,,,,,,,,,,,
rive-s,Rive's,Chartres,,https://www.odyssee-chartres.fr/restaurant/,4,217,65,67,4.4,33,56,44,95,D,Réserve,présence numérique en dessous de ce qu'on livre,a_qualifier,aucun,2026-05-17,,,,,,,,,,,,
la-passacaille,La Passacaille,Chartres,pizza,http://www.lapassacaille.fr/,4.4,1879,85,72,16.4,31,59,44,95,D,Réserve,présence numérique en dessous de ce qu'on livre,a_qualifier,aucun,2026-05-17,,,,,,,,,,,,
pronto-pizza,Pronto Pizza,Lucé,pizza,http://www.restaurant-presto.com/,4.5,251,65,73,,31,59,44,95,D,Réserve,présence numérique en dessous de ce qu'on livre,a_qualifier,aucun,2026-05-17,,,,,,,,,,,,
racines,Racines,Chartres,,https://www.bistrotracines.fr/,4.6,1629,65,70,,28,62,44,95,D,Réserve,présence numérique en dessous de ce qu'on livre,a_qualifier,aucun,2026-05-17,,,,,,,,,,,,
l-annexe,L'Annexe,Chartres,burger french,https://www.annexe-brasserie.fr/,4.2,1723,85,81,10.5,35,53,43,95,D,Réserve,présence numérique en dessous de ce qu'on livre,a_qualifier,aucun,2026-05-17,,,,,,,,,,,,
le-cafe-du-general,Le Café du Général,Chartres,,https://cafedugeneral.fr/fr,3.8,684,65,47,,34,55,43,95,D,Réserve,site lent (perf 47/100),a_qualifier,aucun,2026-05-17,,,,,,,,,,,,
oro,Oro,Barjouville,italian,https://www.contedivenezia28.fr/,3.8,428,65,62,,30,57,42,95,D,Réserve,présence numérique en dessous de ce qu'on livre,a_qualifier,aucun,2026-05-17,,,,,,,,,,,,
cote-sushi,Côté sushi,Chartres,japanese,https://restaurants.cotesushi.com/fr/restaurant-sushi/place-marceau-chartres/,4.3,914,65,60,,28,56,41,95,D,Réserve,présence numérique en dessous de ce qu'on livre,a_qualifier,aucun,2026-05-17,,,,,,,,,,,,
le-phare-saint-louis,Le Phare Saint-Louis,Chartres,breton,https://www.laube-creperie.com/,4.4,929,65,83,,27,59,41,95,D,Réserve,présence numérique en dessous de ce qu'on livre,a_qualifier,aucun,2026-05-17,,,,,,,,,,,,
la-cathedrale,La Cathédrale,Chartres,,https://lecathedrale-brasserie.fr/,4.4,630,65,74,,25,61,41,95,D,Réserve,présence numérique en dessous de ce qu'on livre,a_qualifier,aucun,2026-05-17,,,,,,,,,,,,
le-marigny,Le Marigny,Chartres,,https://lemarignychartres.fr/,4,248,65,63,,30,53,40,95,D,Réserve,présence numérique en dessous de ce qu'on livre,a_qualifier,aucun,2026-05-17,,,,,,,,,,,,
la-voute-romane,La Voûte Romane,Chartres,italian,https://www.roma-nostra.com/,3.5,1097,65,65,,26,54,38,95,D,Réserve,présence numérique en dessous de ce qu'on livre,a_qualifier,aucun,2026-05-17,,,,,,,,,,,,
roma-nostra,Roma Nostra,Chartres,pizza,https://www.roma-nostra.com/,3.5,1097,65,65,,27,46,36,95,D,Réserve,présence numérique en dessous de ce qu'on livre,a_qualifier,aucun,2026-05-17,,,,,,,,,,,,
